		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
011001111   31   18   23   26   28   25   18   16  9.060042 0.337256 SUCCESS  69
011010111   24   31   24   25   34   25   22   21  6.529293 0.588160 SUCCESS  70
011011111   24   27   19   29   23   31   32   23  6.885438 0.549042 SUCCESS  71
011101111   18   14   21   18   19   22   24   24 10.031166 0.262845 SUCCESS  72
011111111   19   21   24   23   20   20   30   22  5.025937 0.754800 SUCCESS  73
100000000   24   24   14   28   24   19   26   21  6.983411 0.538424 SUCCESS  74
100010000   24   27   25   29   27   21   21   31  4.317618 0.827390 SUCCESS  75
100100000   19   24   25   25   16   33   23   26  7.586475 0.474869 SUCCESS  76
100101000   29   33   24   29   21   31   28   32 10.268817 0.246663 SUCCESS  77
100110000   21   28   22   31   14   23   30   28  9.671711 0.288828 SUCCESS  78
100111000   18   27   29   24   35   33   21   21 11.799976 0.160354 SUCCESS  79
101000000   21   27   22   25   29   22   27   26  2.571316 0.958322 SUCCESS  80
101000100   25   16   24   26   31   31   16   23  9.882883 0.273342 SUCCESS  81
101001000   22   26   33   26   28   26   16   25  7.257471 0.509126 SUCCESS  82
101001100   30   19   26   30   29   24   20   24  5.732269 0.677193 SUCCESS  83
101010000   28   30   24   30   24   18   25   23  5.054402 0.751746 SUCCESS  84
101010100   25   26   26   27   27   32   22   16  6.486264 0.592932 SUCCESS  85
101011000   30   23   18   24   26   18   29   24  5.900412 0.658386 SUCCESS  86
101011100   22   29   32   29   22   45   29   22 23.851980 0.002426 FAILURE  87
101100000   30   20   29   15   25   22   23   23  7.213118 0.513823 SUCCESS  88
101100100   28   24   21   17   27   25   34   31  9.418835 0.308204 SUCCESS  89
101101000   29   26   24   20   15   30   20   22  7.967113 0.436689 SUCCESS  90
101101100   29   22   22   33   24   22   20   27  5.875919 0.661129 SUCCESS  91
101110000   27   21   30   29   32   35   27   22 10.742794 0.216703 SUCCESS  92
101110100   19   26   27   20   27   17   26   22  5.407899 0.713221 SUCCESS  93
101111000   15   23   33   15   23   18   22   21 13.252360 0.103457 SUCCESS  94
101111100   18   25   14   29   29   26   16   18 12.956455 0.113357 SUCCESS  95
110000000   22   24   13   20   21   26   29   21  8.558923 0.380858 SUCCESS  96
110000010   23   22   33   24   27   21   21   24  4.739962 0.784973 SUCCESS  97
110000100   22   29   25   26   20   17   22   20  5.466815 0.706714 SUCCESS  98
110001000   24   41   33   23   21   22   25   24 15.656008 0.047577 SUCCESS  99
110001010   23   21   34   25   27   31   27   27  7.199878 0.515229 SUCCESS 100
110010000   27   32   21   25   21   26   25   29  4.749891 0.783943 SUCCESS 101
110010010   25   28   24   15   27   24   24   29  5.511168 0.701802 SUCCESS 102
110010100   29   31   21   27   24   40   29   32 17.183858 0.028251 SUCCESS 103
110011000   22   26   23   37   17   25   23   38 17.418199 0.026037 SUCCESS 104
110011010   16   16   20   28   28   15   20   19 13.691914 0.090157 SUCCESS 105
110100000   28   22   29   21   32   23   23   24  4.800202 0.778702 SUCCESS 106
110100010   24   21   22   28   22   26   19   23  2.959236 0.936890 SUCCESS 107
110100100   20   26   35   25   24   26   24   24  5.834214 0.665796 SUCCESS 108
110101000   24   19   21   27   28   21   23   23  3.222042 0.919660 SUCCESS 109
110101010   17   21   22   22   28   28   20   18  6.948988 0.542146 SUCCESS 110
110101100   25   30   20   29   27   27   27   26  4.030319 0.854378 SUCCESS 111
110110000   26   20   22   20   22   25   15   32  8.441091 0.391610 SUCCESS 112
110110010   28   27   19   18   29   29   30   31  8.775390 0.361597 SUCCESS 113
110110100   25   23   17   22   20   24   22   21  4.220307 0.836720 SUCCESS 114
110111000   28   22   26   31   26   19   35   24  8.860124 0.354233 SUCCESS 115
110111010   16   22   26   18   27   15   29   28 10.550820 0.228471 SUCCESS 116
110111100   18   21   27   17   22   17   23   24  7.481882 0.485642 SUCCESS 117
111000000   20   28   23   24   22   21   26   16  5.288743 0.726316 SUCCESS 118
111000010   19   17   23   24   15   29   22   18 10.260873 0.247191 SUCCESS 119
111000100   22   28   26   22   24   27   32   25  3.902557 0.865806 SUCCESS 120
111000110   15   27   27   26   28   23   24   20  5.883201 0.660313 SUCCESS 121
111001000   24   30   23   33   24   27   25   35  9.624048 0.292410 SUCCESS 122
111001010   27   21   25   34   30   31   30   23  9.285115 0.318818 SUCCESS 123
111001100   24   27   29   31   16   23   28   27  6.944354 0.542648 SUCCESS 124
111010000   24   28   29   23   24   20   24   23  2.452159 0.963924 SUCCESS 125
111010010   22   28   20   24   22   21   23   32  4.883611 0.769940 SUCCESS 126
111010100   26   17   23   21   29   21   27   26  4.781666 0.780637 SUCCESS 127
111010110   28   24   29   24   26   31   21   22  4.148152 0.843515 SUCCESS 128
111011000   20   27   18   23   25   26   16   28  6.585561 0.581934 SUCCESS 129
111011010   24   27   19   27   19   17   21   17  8.176961 0.416378 SUCCESS 130
111011100   25   22   24   31   28   22   29   26  3.911163 0.865048 SUCCESS 131
111100000   24   22   27   21   25   19   29   26  3.282282 0.915415 SUCCESS 132
111100010   21   16   30   20   20   24   23   22  6.779521 0.560597 SUCCESS 133
111100100   26   29   21   28   22   22   23   31  4.461268 0.813295 SUCCESS 134
111100110   23   25   23   32   23   23   26   20  3.723161 0.881197 SUCCESS 135
111101000   17   21   30   28   20   17   24   24  7.839351 0.449318 SUCCESS 136
111101010   27   16   27   21   32   18   25   30  9.578372 0.295874 SUCCESS 137
111101100   23   28   20   23   27   29   25   28  3.283606 0.915320 SUCCESS 138
111101110   30   26   28   23   19   18   25   31  6.901326 0.547315 SUCCESS 139
111110000   25   22   18   25   18   13   27   27  9.821318 0.277792 SUCCESS 140
111110010   19   24   24   21   22   29   25   17  5.212615 0.734629 SUCCESS 141
111110100   14   22   27   22   20   18   31   34 13.661463 0.091027 SUCCESS 142
111110110   17   26   12   26   23   21   27   23  9.990785 0.265673 SUCCESS 143
111111000   23   18   20   21   18   20   29   25  6.592843 0.581129 SUCCESS 144
111111010   27   29   28   25   32   21   29   33  8.717798 0.366659 SUCCESS 145
111111100   24   16   22   17   21   27   23   22  6.660365 0.573680 SUCCESS 146
111111110   19   21   24   23   20   20   30   22  5.025937 0.754800 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
